"category","id","href","github","image","name","tags"
"dev-tools","proxy","https://hieudoanm.github.io/proxy","https://github.com/hieudoanm/proxy","https://raw.githubusercontent.com/hieudoanm/proxy/refs/heads/master/images/cover.png","Proxy","cli,extension,android,macos,web"
"dev-tools","qrcode","https://hieudoanm.github.io/qrcode","https://github.com/hieudoanm/qrcode","https://raw.githubusercontent.com/hieudoanm/qrcode/refs/heads/master/images/cover.png","QRCode","cli,extension,android,macos,web"
"dev-tools","status","https://hieudoanm.github.io/status","https://github.com/hieudoanm/status","https://raw.githubusercontent.com/hieudoanm/status/refs/heads/master/images/cover.png","Status","cli,extension,android,macos,web"
"dev-tools","uuid","https://hieudoanm.github.io/uuid","https://github.com/hieudoanm/uuid","https://raw.githubusercontent.com/hieudoanm/uuid/refs/heads/master/images/cover.png","UUID","cli,extension,android,macos,web"
dev-tools,yaml,https://hieudoanm.github.io/yaml,https://github.com/hieudoanm/yaml,https://raw.githubusercontent.com/hieudoanm/yaml/refs/heads/master/images/cover.png,YAML,web
"docs","md","https://hieudoanm.github.io/md","https://github.com/hieudoanm/md","https://raw.githubusercontent.com/hieudoanm/md/refs/heads/master/images/cover.png","MD","cli,extension,android,macos,web"
docs,pitch,https://hieudoanm.github.io/pitch,https://github.com/hieudoanm/pitch,https://raw.githubusercontent.com/hieudoanm/pitch/refs/heads/master/images/cover.png,Pitch,web
"docs","redact","https://hieudoanm.github.io/redact","https://github.com/hieudoanm/redact","https://raw.githubusercontent.com/hieudoanm/redact/refs/heads/master/images/cover.png","Redact","cli,extension,android,macos,web"
docs,resume,https://hieudoanm.github.io/resume,https://github.com/hieudoanm/resume,https://raw.githubusercontent.com/hieudoanm/resume/refs/heads/master/images/cover.png,Resume,"cli,extension,android,macos,web"
finance,inflation,https://hieudoanm.github.io/inflation,https://github.com/hieudoanm/inflation,https://raw.githubusercontent.com/hieudoanm/inflation/refs/heads/master/images/cover.png,Inflation,"cli,extension,android,macos,web"
"finance","invoice","https://hieudoanm.github.io/invoice","https://github.com/hieudoanm/invoice","https://raw.githubusercontent.com/hieudoanm/invoice/refs/heads/master/images/cover.png","Invoice","cli,extension,android,macos,web"
finance,tax,https://hieudoanm.github.io/tax,https://github.com/hieudoanm/tax,https://raw.githubusercontent.com/hieudoanm/tax/refs/heads/master/images/cover.png,Tax,"cli,extension,android,macos,web"
fun,palindrome,https://hieudoanm.github.io/palindrome,https://github.com/hieudoanm/palindrome,https://raw.githubusercontent.com/hieudoanm/palindrome/refs/heads/master/images/cover.png,Palindrome,web
fun,pi,https://hieudoanm.github.io/pi,https://github.com/hieudoanm/pi,https://raw.githubusercontent.com/hieudoanm/pi/refs/heads/master/images/cover.png,PI,"cli,extension,android,macos,web"
"game","blackjack","https://hieudoanm.github.io/blackjack","https://github.com/hieudoanm/blackjack","https://raw.githubusercontent.com/hieudoanm/blackjack/refs/heads/master/images/cover.png","Blackjack","cli,extension,android,macos,web"
game,quiz,https://hieudoanm.github.io/quiz,https://github.com/hieudoanm/quiz,https://raw.githubusercontent.com/hieudoanm/quiz/refs/heads/master/images/cover.png,Quiz,"cli,extension,android,macos,web"
game,recall,https://hieudoanm.github.io/recall,https://github.com/hieudoanm/recall,https://raw.githubusercontent.com/hieudoanm/recall/refs/heads/master/images/cover.png,Recall,"cli,extension,android,macos,web"
"game","t3","https://hieudoanm.github.io/t3","https://github.com/hieudoanm/t3","https://raw.githubusercontent.com/hieudoanm/t3/refs/heads/master/images/cover.png","T3","cli,extension,android,macos,web"
game,towers,https://hieudoanm.github.io/towers,https://github.com/hieudoanm/towers,https://raw.githubusercontent.com/hieudoanm/towers/refs/heads/master/images/cover.png,Towers,"cli,extension,android,macos,web"
productivity,calendar,https://hieudoanm.github.io/calendar,https://github.com/hieudoanm/calendar,https://raw.githubusercontent.com/hieudoanm/calendar/refs/heads/master/images/cover.png,Lunar,web
"productivity","doi","https://hieudoanm.github.io/doi","https://github.com/hieudoanm/doi","https://raw.githubusercontent.com/hieudoanm/doi/refs/heads/master/images/cover.png","DOI","cli,extension,android,macos,web"
"productivity","maps","https://hieudoanm.github.io/maps","https://github.com/hieudoanm/maps","https://raw.githubusercontent.com/hieudoanm/maps/refs/heads/master/images/cover.png","Maps","cli,extension,android,macos,web"
"productivity","pomodoro","https://hieudoanm.github.io/pomodoro","https://github.com/hieudoanm/pomodoro","https://raw.githubusercontent.com/hieudoanm/pomodoro/refs/heads/master/images/cover.png","Pomodoro","cli,extension,android,macos,web"
"productivity","today.do","https://hieudoanm.github.io/today.do","https://github.com/hieudoanm/today.do","https://raw.githubusercontent.com/hieudoanm/today.do/refs/heads/master/images/cover.png","today.do","cli,extension,android,macos,web"
"social","ig","https://hieudoanm.github.io/ig","https://github.com/hieudoanm/ig","https://raw.githubusercontent.com/hieudoanm/ig/refs/heads/master/images/cover.png","IG","cli,extension,android,macos,web"
"social","tg","https://hieudoanm.github.io/tg","https://github.com/hieudoanm/tg","https://raw.githubusercontent.com/hieudoanm/tg/refs/heads/master/images/cover.png","TG","cli,extension,android,macos,web"
"social","ytb","https://hieudoanm.github.io/ytb","https://github.com/hieudoanm/ytb","https://raw.githubusercontent.com/hieudoanm/ytb/refs/heads/master/images/cover.png","YTB","cli,extension,android,macos,web"
"utilities","macosx","https://hieudoanm.github.io/macosx","https://github.com/hieudoanm/macosx","https://raw.githubusercontent.com/hieudoanm/macosx/refs/heads/master/images/cover.png","macOSX","cli,extension,android,macos,web"
"template","atomic","https://hieudoanm.github.io/atomic","https://github.com/hieudoanm/atomic","https://raw.githubusercontent.com/hieudoanm/atomic/refs/heads/master/images/cover.png","Atomic","web"
"template","micro-saas","https://hieudoanm.github.io/micro-saas","https://github.com/hieudoanm/micro-saas","https://raw.githubusercontent.com/hieudoanm/micro-saas/refs/heads/master/images/cover.png","Micro SaaS","web"
